datetime,temperature,humidity,CO2_PPM,CH4_PPM,H2_PPM
07/13/2024 01:09:39,24.00,62,403.77,7.30,0.44
07/13/2024 01:09:42,24.00,62,403.77,7.30,0.44
07/13/2024 01:09:44,25.00,61,403.79,7.25,0.44
07/13/2024 01:09:47,24.00,62,403.77,7.25,0.44
07/13/2024 01:09:49,24.00,62,403.77,7.25,0.44
07/13/2024 01:09:51,25.00,61,403.77,7.21,0.44
07/13/2024 01:09:54,25.00,61,403.77,7.21,0.44
07/13/2024 01:09:56,25.00,61,403.77,7.25,0.44
07/13/2024 01:09:59,24.00,62,403.77,7.25,0.44
07/13/2024 01:10:01,25.00,61,403.77,7.30,0.44
07/13/2024 01:10:04,25.00,61,403.79,7.30,0.44
07/13/2024 01:10:06,25.00,61,403.79,7.16,0.44
07/13/2024 01:10:09,25.00,61,403.77,7.21,0.44
07/13/2024 01:10:11,25.00,61,403.77,7.16,0.44
07/13/2024 01:10:14,25.00,61,403.74,7.16,0.44
07/13/2024 01:10:16,25.00,61,403.77,7.16,0.44
07/13/2024 01:10:18,25.00,61,403.71,7.16,0.44
07/13/2024 01:10:21,25.00,61,403.74,7.12,0.44
07/13/2024 01:10:23,25.00,61,403.74,7.12,0.44
07/13/2024 01:10:26,25.00,61,403.74,7.12,0.44
07/13/2024 01:10:28,25.00,61,403.74,7.12,0.44
07/13/2024 01:10:31,25.00,61,403.71,7.08,0.44
07/13/2024 01:10:33,25.00,61,403.71,7.12,0.44
07/13/2024 01:10:36,25.00,61,403.71,7.12,0.44
07/13/2024 01:10:38,25.00,61,403.69,7.04,0.44
07/13/2024 01:10:40,25.00,61,403.69,7.08,0.43
07/13/2024 01:10:43,25.00,61,403.61,6.99,0.43
07/13/2024 01:10:45,25.00,61,403.56,6.91,0.43
07/13/2024 01:10:48,25.00,61,403.59,6.91,0.43
07/13/2024 01:10:50,25.00,61,403.59,6.87,0.43
07/13/2024 01:10:53,25.00,61,403.61,6.87,0.43
07/13/2024 01:10:55,25.00,61,403.59,6.87,0.43
07/13/2024 01:10:58,25.00,61,403.61,6.91,0.43
07/13/2024 01:11:00,25.00,61,403.59,6.91,0.43
07/13/2024 01:11:02,25.00,60,403.56,6.87,0.43
07/13/2024 01:11:05,25.00,61,403.56,6.87,0.43
07/13/2024 01:11:07,25.00,61,403.56,6.91,0.43
07/13/2024 01:11:10,25.00,61,403.61,6.91,0.43
07/13/2024 01:11:12,25.00,61,403.56,6.91,0.43
07/13/2024 01:11:15,25.00,61,403.56,6.87,0.43
07/13/2024 01:11:17,25.00,60,403.59,6.83,0.43
07/13/2024 01:11:20,25.00,61,403.61,6.83,0.43
07/13/2024 01:11:22,25.00,61,403.61,6.87,0.43
07/13/2024 01:11:24,25.00,60,403.61,6.87,0.43
07/13/2024 01:11:27,25.00,60,403.56,6.83,0.43
07/13/2024 01:11:29,25.00,60,403.59,6.87,0.43
07/13/2024 01:11:32,25.00,61,403.59,6.91,0.43
07/13/2024 01:11:34,25.00,60,403.56,6.83,0.43
07/13/2024 01:11:37,25.00,61,403.59,6.91,0.43
07/13/2024 01:11:39,25.00,61,403.59,6.95,0.43
07/13/2024 01:11:42,25.00,61,403.59,6.91,0.43
07/13/2024 01:11:44,25.00,61,403.59,6.91,0.43
07/13/2024 01:11:47,25.00,61,403.59,6.95,0.43
07/13/2024 01:11:49,25.00,61,403.56,6.91,0.43
07/13/2024 01:11:51,25.00,61,403.61,6.87,0.43
07/13/2024 01:11:54,25.00,61,403.59,6.91,0.43
07/13/2024 01:11:56,25.00,61,403.64,6.91,0.43
07/13/2024 01:11:59,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:01,25.00,61,403.61,6.95,0.43
07/13/2024 01:12:04,25.00,61,403.64,6.91,0.43
07/13/2024 01:12:06,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:09,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:11,25.00,61,403.61,6.95,0.43
07/13/2024 01:12:13,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:16,25.00,61,403.61,6.95,0.43
07/13/2024 01:12:18,25.00,61,403.64,6.95,0.43
07/13/2024 01:12:21,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:23,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:26,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:28,25.00,61,403.61,6.87,0.43
07/13/2024 01:12:31,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:33,25.00,61,403.64,6.91,0.43
07/13/2024 01:12:36,25.00,61,403.64,6.91,0.43
07/13/2024 01:12:38,25.00,61,403.64,6.91,0.43
07/13/2024 01:12:40,25.00,61,403.64,6.83,0.43
07/13/2024 01:12:43,25.00,61,403.64,6.91,0.43
07/13/2024 01:12:45,25.00,61,403.66,6.87,0.43
07/13/2024 01:12:48,25.00,61,403.66,6.87,0.43
07/13/2024 01:12:50,25.00,61,403.61,6.91,0.43
07/13/2024 01:12:53,25.00,61,403.66,6.91,0.43
07/13/2024 01:12:55,25.00,61,403.64,6.95,0.43
07/13/2024 01:12:58,25.00,61,403.64,6.91,0.43
07/13/2024 01:13:00,25.00,61,403.66,6.87,0.43
07/13/2024 01:13:02,25.00,61,403.66,6.83,0.43
07/13/2024 01:13:05,25.00,61,403.66,6.83,0.43
07/13/2024 01:13:07,25.00,61,403.66,6.83,0.43
07/13/2024 01:13:10,25.00,61,403.66,6.87,0.43
07/13/2024 01:13:12,25.00,61,403.64,6.83,0.43
07/13/2024 01:13:15,25.00,61,403.64,6.83,0.43
07/13/2024 01:13:17,25.00,61,403.64,6.83,0.43
07/13/2024 01:13:20,25.00,61,403.61,6.83,0.43
07/13/2024 01:13:22,25.00,61,403.64,6.83,0.43
07/13/2024 01:13:24,25.00,61,403.61,6.78,0.43
07/13/2024 01:13:27,25.00,61,403.61,6.83,0.43
07/13/2024 01:13:29,25.00,61,403.61,6.83,0.43
07/13/2024 01:13:32,25.00,60,403.61,6.78,0.43
07/13/2024 01:13:34,25.00,61,403.61,6.83,0.43
07/13/2024 01:13:37,25.00,60,403.61,6.78,0.43
07/13/2024 01:13:39,25.00,60,403.64,6.83,0.43
07/13/2024 01:13:42,25.00,61,403.66,6.78,0.43
07/13/2024 01:13:44,25.00,60,403.64,6.78,0.43
07/13/2024 01:13:46,25.00,60,403.64,6.74,0.43
07/13/2024 01:13:49,25.00,60,403.64,6.74,0.43
07/13/2024 01:13:51,25.00,60,403.61,6.78,0.43
07/13/2024 01:13:54,25.00,60,403.61,6.74,0.43
07/13/2024 01:13:56,25.00,60,403.61,6.70,0.43
07/13/2024 01:13:59,25.00,60,403.61,6.74,0.43
07/13/2024 01:14:01,25.00,60,403.61,6.74,0.43
07/13/2024 01:14:04,25.00,60,403.64,6.70,0.43
07/13/2024 01:14:06,25.00,60,403.61,6.66,0.43
07/13/2024 01:14:09,25.00,60,403.61,6.70,0.43
07/13/2024 01:14:11,25.00,60,403.59,6.70,0.43
07/13/2024 01:14:13,25.00,60,403.59,6.74,0.43
07/13/2024 01:14:16,25.00,60,403.61,6.74,0.43
07/13/2024 01:14:18,25.00,60,403.61,6.83,0.43
07/13/2024 01:14:21,25.00,60,403.59,6.83,0.43
07/13/2024 01:14:23,25.00,60,403.56,6.91,0.43
07/13/2024 01:14:26,25.00,60,403.59,6.87,0.43
07/13/2024 01:14:28,25.00,60,403.56,6.91,0.43
07/13/2024 01:14:31,25.00,60,403.56,6.95,0.43
07/13/2024 01:14:33,25.00,60,403.56,6.99,0.43
07/13/2024 01:14:35,25.00,60,403.56,7.04,0.43
07/13/2024 01:14:38,25.00,60,403.56,6.99,0.43
07/13/2024 01:14:40,25.00,60,403.56,6.99,0.43
07/13/2024 01:14:43,25.00,60,403.56,6.99,0.43
07/13/2024 01:14:45,25.00,60,403.59,6.99,0.43
07/13/2024 01:14:48,25.00,60,403.56,7.04,0.43
07/13/2024 01:14:50,25.00,60,403.59,6.99,0.43
07/13/2024 01:14:53,25.00,60,403.56,6.99,0.43
07/13/2024 01:14:55,25.00,60,403.56,6.99,0.43
07/13/2024 01:14:57,25.00,60,403.59,6.91,0.43
07/13/2024 01:15:00,25.00,60,403.56,6.99,0.43
07/13/2024 01:15:02,25.00,60,403.54,6.91,0.43
07/13/2024 01:15:05,25.00,60,403.51,6.91,0.43
07/13/2024 01:15:07,25.00,60,403.51,6.91,0.43
07/13/2024 01:15:10,25.00,60,403.54,6.91,0.43
07/13/2024 01:15:12,25.00,60,403.51,6.99,0.42
07/13/2024 01:15:15,25.00,60,403.51,6.95,0.42
07/13/2024 01:15:17,25.00,60,403.51,6.95,0.42
07/13/2024 01:15:19,25.00,60,403.54,6.91,0.42
07/13/2024 01:15:22,25.00,60,403.51,6.87,0.42
07/13/2024 01:15:24,25.00,60,403.51,6.87,0.43
07/13/2024 01:15:27,25.00,60,403.49,6.91,0.42
07/13/2024 01:15:29,25.00,60,403.51,6.87,0.42
07/13/2024 01:15:32,25.00,60,403.51,6.83,0.42
07/13/2024 01:15:34,25.00,60,403.51,6.95,0.42
07/13/2024 01:15:37,25.00,60,403.51,6.91,0.42
07/13/2024 01:15:39,25.00,60,403.49,6.87,0.42
07/13/2024 01:15:42,25.00,60,403.49,6.87,0.42
07/13/2024 01:15:44,25.00,60,403.49,6.78,0.42
07/13/2024 01:15:46,25.00,60,403.51,6.78,0.42
07/13/2024 01:15:49,25.00,60,403.46,6.74,0.42
07/13/2024 01:15:51,25.00,60,403.44,6.74,0.42
07/13/2024 01:15:54,25.00,60,403.39,6.74,0.42
07/13/2024 01:15:56,25.00,60,403.37,6.70,0.42
07/13/2024 01:15:59,25.00,60,403.37,6.70,0.42
07/13/2024 01:16:01,25.00,60,403.39,6.66,0.42
07/13/2024 01:16:04,25.00,60,403.37,6.62,0.42
07/13/2024 01:16:06,25.00,60,403.37,6.62,0.42
07/13/2024 01:16:08,25.00,60,403.37,6.58,0.42
07/13/2024 01:16:11,25.00,60,403.37,6.58,0.42
07/13/2024 01:16:13,25.00,60,403.32,6.58,0.42
07/13/2024 01:16:16,25.00,60,403.37,6.58,0.42
07/13/2024 01:16:18,25.00,60,403.34,6.54,0.42
07/13/2024 01:16:21,25.00,60,403.37,6.58,0.42
07/13/2024 01:16:23,25.00,60,403.34,6.50,0.42
07/13/2024 01:16:26,25.00,61,403.34,6.50,0.42
07/13/2024 01:16:28,25.00,61,403.32,6.46,0.42
07/13/2024 01:16:30,25.00,61,403.32,6.42,0.42
07/13/2024 01:16:33,25.00,61,403.37,6.46,0.42
07/13/2024 01:16:35,25.00,61,403.34,6.50,0.42
07/13/2024 01:16:38,25.00,61,403.32,6.42,0.42
07/13/2024 01:16:40,25.00,61,403.32,6.50,0.42
07/13/2024 01:16:43,25.00,61,403.32,6.42,0.42
07/13/2024 01:16:45,25.00,61,403.32,6.42,0.42
07/13/2024 01:16:48,25.00,61,403.32,6.38,0.42
07/13/2024 01:16:50,25.00,61,403.32,6.38,0.42
07/13/2024 01:16:53,25.00,61,403.28,6.42,0.42
07/13/2024 01:16:55,25.00,61,403.32,6.38,0.42
07/13/2024 01:16:57,25.00,61,403.30,6.38,0.42
07/13/2024 01:17:00,25.00,61,403.30,6.34,0.42
07/13/2024 01:17:02,25.00,61,403.28,6.38,0.42
07/13/2024 01:17:05,25.00,61,403.28,6.31,0.42
07/13/2024 01:17:07,25.00,61,403.30,6.31,0.42
07/13/2024 01:17:10,25.00,61,403.28,6.31,0.42
07/13/2024 01:17:12,25.00,60,403.25,6.31,0.42
07/13/2024 01:17:15,25.00,61,403.25,6.27,0.42
07/13/2024 01:17:17,25.00,61,403.23,6.23,0.42
07/13/2024 01:17:19,25.00,60,403.28,6.31,0.42
07/13/2024 01:17:22,25.00,60,403.23,6.19,0.42
07/13/2024 01:17:24,25.00,60,403.23,6.23,0.42
07/13/2024 01:17:27,25.00,60,403.23,6.27,0.42
07/13/2024 01:17:29,25.00,60,403.23,6.23,0.42
07/13/2024 01:17:32,25.00,60,403.23,6.23,0.42
07/13/2024 01:17:34,25.00,60,403.23,6.23,0.42
07/13/2024 01:17:37,25.00,60,403.23,6.23,0.42
07/13/2024 01:17:39,25.00,60,403.23,6.31,0.42
07/13/2024 01:17:41,25.00,60,403.23,6.23,0.42
07/13/2024 01:17:44,25.00,60,403.25,6.23,0.42
07/13/2024 01:17:46,25.00,60,403.25,6.19,0.42
07/13/2024 01:17:49,25.00,60,403.25,6.19,0.42
07/13/2024 01:17:51,25.00,60,403.23,6.15,0.42
07/13/2024 01:17:54,25.00,60,403.23,6.19,0.42
07/13/2024 01:17:56,25.00,60,403.23,6.15,0.42
07/13/2024 01:17:59,25.00,60,403.25,6.19,0.42
07/13/2024 01:18:01,25.00,60,403.23,6.19,0.42
07/13/2024 01:18:04,25.00,60,403.21,6.19,0.42
07/13/2024 01:18:06,25.00,60,403.21,6.19,0.42
07/13/2024 01:18:08,25.00,60,403.21,6.19,0.42
